"Name","Country","Actor Type","Established","Last Seen"
"Russian Hackers Team","Russian Federation","Hacktivist","","2022-11-22"
"RxR HaCker","Iran (Islamic Republic of)","Hacktivist","","2015-05-07"
"Ryan S. Hernandez AKA Ryan West AKA RyanRocks","Undetermined","Criminal","","2020-12-11"
"RyanDa1338","Undetermined","Undetermined","","2016-04-02"
"Ryushi","Undetermined","Criminal","","2022-12-23"
"Sahoo","Undetermined","Hobbyist","","2014-08-28"
"SaLeM","United States of America","Hacktivist","","2014-08-19"
"Sally-Anne Jones (Umm Hussain Britaniya)","Syrian Arab Republic","Terrorist","","2015-10-09"
"Sangkancil","Undetermined","Criminal","","2021-09-07"
"Satan","Undetermined","Undetermined","","2020-04-15"
"Saudi Arabia","Saudi Arabia","Nation-State","","2020-01-21"
"savaka","Undetermined","Criminal","","2015-07-02"
"Sawarim","Undetermined","Criminal","","2022-11-11"
"Sawfish","Undetermined","Criminal","","2020-07-21"
"Sc0rp!n Att@ck3r from Muslim Cyber Army","India","Hacktivist","","2016-01-03"
"Sc0rp10nGh0s7","Undetermined","Criminal","","2017-01-21"
"Scattered Spider AKA UNC3944 and 0ktapus","Undetermined","Criminal","","2023-09-07"
"SchoolBoysGang","Undetermined","Criminal","","2022-11-10"
"Scott Ainge","Undetermined","Undetermined","","2020-10-09"
"SCUWatch","Undetermined","Undetermined","","2016-10-17"
"Sdambasha","Undetermined","Undetermined","","2014-09-08"
"SE2mhZVVY7HF4VEV0cOH","Undetermined","Undetermined","","2014-04-15"
"sedut","Undetermined","Criminal","","2022-12-07"
"SeigedSec","Undetermined","Criminal","","2023-03-04"
"Seize","Undetermined","Criminal","","2023-02-17"
"Sekhmet","Undetermined","Criminal","","2020-05-30"
"SENAIN","Ecuador","Nation-State","","2015-08-07"
"SEO","Korea (the Republic of)","Criminal","","2014-03-26"
"Serbian Hackers","Albania","Hacktivist","","2014-10-18"
"Shadow Brokers","Russian Federation","Criminal","","2018-07-25"
"Shadow Kill Hackers","Undetermined","Criminal","","2019-10-24"
"Shaltai Boltai","Undetermined","Undetermined","","2014-08-14"
"Shandra Gilles","Undetermined","Undetermined","","2020-06-22"
"Sharp Boys","Undetermined","Criminal","","2021-12-18"
"Sharpboys","Iran (Islamic Republic of)","Criminal","","2023-04-24"
"shenfenzheng","Undetermined","Undetermined","","2016-05-12"
"Sheriff","Undetermined","Criminal","","2023-10-25"
"Shield Iran","Sierra Leone","Hacktivist","","2020-01-04"
"Shin0bi_H4x0r","Undetermined","Undetermined","","2016-12-30"
"Shiny Hunters","Undetermined","Criminal","","2023-04-20"
"ShinyHunters","Undetermined","Criminal","","2023-09-03"
"Shmook Amer; Dr.Hjd","Kuwait","Hacktivist","","2014-03-30"
"SideCopy APT","Pakistan","Nation-State","","2023-03-21"
"Sidewinder","India","Nation-State","","2020-12-09"
"SiegedSec","Undetermined","Hacktivist","","2023-10-03"
"Silence Group","Undetermined","Criminal","","2019-07-03"
"Silent Hacker's Group","Undetermined","Undetermined","","2015-01-07"
"Silent Librarian","Undetermined","Undetermined","","2020-10-14"
"SilverTerrier","Undetermined","Criminal","","2022-08-14"
"SingularityMD","Undetermined","Criminal","","2023-10-05"
"Sinister","Undetermined","Undetermined","","2015-03-02"
"SkyNetCentral","Undetermined","Undetermined","","2016-06-14"
"SkYz0","Undetermined","Undetermined","","2015-03-31"
"Smitt3nz AKA Rubber","Undetermined","Undetermined","","2015-12-07"
"sn0n","Undetermined","Undetermined","","2016-04-18"
"Snake","Russian Federation","Nation-State","","2018-11-14"
"Snatch","Undetermined","Criminal","","2023-08-21"
"Snatch and Nokoyawa","Undetermined","Criminal","","2023-09-11"
"SonnySpooks","Undetermined","Undetermined","","2016-07-12"
"Spain Squad","Undetermined","Criminal","","2016-09-03"
"Sparta Blog","Undetermined","Criminal","","2022-09-23"
"Spectre123","Undetermined","Undetermined","","2020-10-12"
"Spid3r","Undetermined","Hacktivist","","2022-07-03"
"Spiderz","Undetermined","Undetermined","","2020-12-30"
"Spielerkid89","Undetermined","Hacktivist","","2022-03-15"
"Sprite Spider","Undetermined","Criminal","","2021-08-20"
"State Department employee","Undetermined","Undetermined","","2021-01-11"
"Stealth Falcon","United Arab Emirates","Nation-State","","2015-11-01"
"Stephen Godlett","United States of America","Criminal","","2021-01-06"
"STEPPY#KAVACH","Undetermined","Criminal","","2022-12-22"
"Stonefly","Korea (the Democratic People's Republic of)","Nation-State","","2022-02-28"
"Stormous","Russian Federation","Hacktivist","","2023-03-31"
"StudentCyberArmy","Ukraine","Hacktivist","","2022-08-16"
"Su Bin","China","Nation-State","","2014-07-13"
"Sudhish Kasaba Ramesh","United States of America","Criminal","","2020-08-28"
"Sudoh4k3rs","Portugal","Hacktivist","","2015-02-27"
"Sultan Haikal; Gantengers Crew","Undetermined","Hacktivist","","2014-01-21"
"Sum Guy","Undetermined","Hobbyist","","2014-06-30"
"SunCrypt","Undetermined","Criminal","","2022-02-10"
"sup3rm4n; j0shua3w","Brazil","Hacktivist","","2015-10-08"
"SuperExtremeShitpostingTeam","Undetermined","Undetermined","","2015-10-01"
"Suspected Chinese hackers","Undetermined","Undetermined","","2018-04-06"
"SVR (COZYBEAR)","Russian Federation","Nation-State","","2023-08-10"
"Swan","United States of America","Hacktivist","","2014-06-21"
"Sylhet Gang","India","Hacktivist","","2023-09-14"
"Syrian Cyber Army","Syrian Arab Republic","Hacktivist","","2016-10-24"
"Syrian Electronic Army","Syrian Arab Republic","Hacktivist","","2020-03-02"
"TA4563","Undetermined","Criminal","","2022-07-21"
"TA505","Undetermined","Criminal","","2023-01-06"
"TA569","Undetermined","Criminal","","2022-11-02"
"TAG-28","China","Nation-State","","2021-02-28"
"TAG-38","China","Nation-State","","2021-09-30"
"TarTarX","Undetermined","Criminal","","2022-07-20"
"Team Bad Dream","United States of America","Hacktivist","","2015-03-30"
"Team Cyber Criminals","Pakistan","Hobbyist","","2014-03-18"
"Team Danny","United States of America","Hacktivist","","2014-10-15"
"Team Fursec","Undetermined","Undetermined","","2016-02-16"
"Team HDP","Bolivia (Plurinational State of)","Hacktivist","","2021-10-25"
"Team I Crew","Pakistan","Hacktivist","","2019-02-16"
"TeaM MaDLeeTs","Pakistan","Hacktivist","","2014-01-13"
"Team Muslim Cyberforce","New Zealand","Hacktivist","","2015-01-19"
"Team Mysterious Bangladesh","Bangladesh","Hacktivist","","2022-12-05"
"Team OneFist","Ukraine","Undetermined","","2022-07-26"
"Team Pak Cyber Attacker","Undetermined","Undetermined","","2016-12-21"
"Team Pak Cyber Experts","Pakistan","Hacktivist","","2015-10-20"
"Team Pak Cyber Lions","Undetermined","Undetermined","","2016-05-10"
"Team R70","Undetermined","Hacktivist","","2023-08-04"
"Team System DZ","Algeria","Hacktivist","","2017-11-08"
"Team Unknown","Undetermined","Criminal","","2015-06-09"
"TeamBerserk","Undetermined","Hacktivist","","2014-01-17"
"TeaMp0isoN","Spain","Hacktivist","","2016-02-28"
"Teams Hans","Undetermined","Criminal","","2015-03-02"
"TeaPots","Undetermined","Hobbyist","","2022-09-18"
"Telecomix Canada","United States of America","Hacktivist","","2015-08-03"
"Tessa88","Undetermined","Undetermined","","2016-06-06"
"Th3 Ap3x","Undetermined","Undetermined","","2015-10-06"
"Thailand","Thailand","Nation-State","","2022-07-18"
"The Binary Guardians","Venezuela (Bolivarian Republic of)","Hacktivist","","2017-08-07"
"The Black Rabbit World","Undetermined","Hacktivist","","2022-04-06"
"The BLuE","Undetermined","Hobbyist","","2014-06-11"
"The Cyber Army of the Khilafah","Syrian Arab Republic","Hacktivist","","2015-07-08"
"The Dark Overlord","United Kingdom of Great Britain and Northern Ireland","Criminal","","2019-02-15"
"The Exploit3rs","Morocco","Hacktivist","","2015-07-25"
"The GreaT Team","Libya","Hobbyist","","2014-04-30"
"The Impact Team","Undetermined","Undetermined","","2015-07-19"
"The Knowns","Undetermined","Hacktivist","","2014-09-19"
"The Lizard Squad","Undetermined","Undetermined","","2014-09-23"
"The Mallu Soldiers","Pakistan","Hacktivist","","2014-10-09"
"The Real Deal","Undetermined","Criminal","","2016-04-12"
"THE0TIME","Undetermined","Criminal","","2020-04-25"
"TheFamily","Undetermined","Undetermined","","2016-04-10"
"TheHorsemen","Undetermined","Hacktivist","","2014-02-10"
"theMx0nday","Brazil","Criminal","","2022-02-25"
"TheNeoBoss","Undetermined","Criminal","","2016-03-31"
"TheSnake","Undetermined","Criminal","","2023-09-08"
"Thrax","Undetermined","Hobbyist","","2022-09-28"
"Threat actors from Russia","Russian Federation","Criminal","","2023-04-01"
"ThreatSec","Undetermined","Hacktivist","","2023-10-07"
"Three Dutch hackers named Edwin, Mattijs and Victor","Undetermined","Undetermined","","2016-10-27"
"ThreeAM (AKA 3AM)","Undetermined","Criminal","","2023-09-18"
"Tick","China","Nation-State","","2020-01-20"
"Ticketmaster","Undetermined","Undetermined","","2020-12-31"
"Tiger Mate","Undetermined","Undetermined","","2016-05-28"
"TimisoaraHackerTeam","Undetermined","Criminal","","2023-01-15"
"Tobitow","South Africa","Hacktivist","","2016-02-12"
"Todd Davis aka Lifelock","Undetermined","Criminal","","2018-06-02"
"Togo","Togo","Nation-State","","2019-04-01"
"Toogod","Undetermined","Criminal","","2020-05-29"
"Transparent Tribe","Pakistan","Nation-State","","2022-07-13"
"Trigona","Undetermined","Criminal","","2023-09-07"
"Trina Chu","Undetermined","Undetermined","","2020-08-06"
"Truthsec","United States of America","Hacktivist","","2016-02-27"
"Tsar Team","Undetermined","Criminal","","2017-04-28"
"TuftsLeaks","Undetermined","Undetermined","","2017-05-03"
"Turk Guvengligi","Turkey","Hacktivist","","2014-07-23"
"Turk Hack Team","Turkey","Hacktivist","","2023-06-18"
"TurkGuvenligi","Turkey","Hacktivist","","2014-01-15"
"TurkHackTeam","Turkey","Hacktivist","","2023-04-04"
"Turkish Ajan","Turkey","Hacktivist","","2014-02-20"
"Turkish hackers","Undetermined","Undetermined","","2017-08-07"
"Turksiberkarargh","Undetermined","Nation-State","","2018-07-18"
"Twister Canyon","Undetermined","Criminal","","2022-03-25"
"Two ""rogue"" Shopify employees","Undetermined","Undetermined","","2020-09-22"
"Two individuals","Undetermined","Criminal","","2022-09-02"
"Two Polish citizens","Undetermined","Hacktivist","","2023-08-25"
"Two Sherman High School students","United States of America","Hobbyist","","2020-11-20"
"Two Students","Undetermined","Hobbyist","","2014-03-08"
"Two unidentified students","United States of America","Hobbyist","","2018-05-19"
"Two Unnamed Brazilian Hackers","Brazil","Hobbyist","","2019-04-25"
"U.S. Justice Department","United States of America","Nation-State","","2021-06-22"
"UAC-0041","Russian Federation","Hacktivist","","2022-04-14"
"UAC-0050","Undetermined","Undetermined","","2023-02-06"
"UAC-0056","Russian Federation","Nation-State","","2023-02-23"
"UAC-0063","Undetermined","Undetermined","","2023-04-18"
"UAC-0097","Russian Federation","Nation-State","","2022-04-14"
"UAC-0098","Russian Federation","Criminal","","2022-04-28"
"UAC-0114","Undetermined","Nation-State","","2023-02-08"
"UAC-0132","Undetermined","Undetermined","","2022-10-21"
"Uawrongteam","Undetermined","Criminal","","2021-12-23"
"uid0","Undetermined","Criminal","","2016-07-08"
"uid=0","Undetermined","Criminal","","2023-10-02"
"UkDrillas","Undetermined","Undetermined","","2019-09-06"
"Ukraine IT Army","Ukraine","Hacktivist","","2022-09-19"
"Ukraine's IT Army","Ukraine","Hacktivist","","2022-11-07"
"Ukrainian IT Army","Ukraine","Hacktivist","","2023-10-27"
"Ukranian Svoboda Party","Ukraine","Hacktivist","","2014-02-01"
"Ulzr1z","United States of America","Hacktivist","","2015-01-06"
"UNC3944","Undetermined","Criminal","","2023-05-16"
"UNC4736","Korea (the Democratic People's Republic of)","Criminal","","2023-04-20"
"UNC4841","China","Nation-State","","2023-06-08"
"Undetermined","Undetermined","Criminal","","2023-10-31"
"Union of Hacktivists","Myanmar","Hacktivist","","2016-06-17"
"Unistellar","Undetermined","Criminal","","2019-05-08"
"United Arab Emirates","United Arab Emirates","Nation-State","","2020-12-20"
"United Cyber Caliphate","Syrian Arab Republic","Terrorist","","2016-11-01"
"United Kingdom","United Kingdom of Great Britain and Northern Ireland","Nation-State","","2020-06-22"
"United Microelectronics Corporation","Undetermined","Undetermined","","2020-10-29"
"Unknown Nigerian attackers","Undetermined","Undetermined","","2016-09-06"
"Unnamed Amazon employee","Undetermined","Undetermined","","2020-10-28"
"Unnamed Australian contractor","Australia","Criminal","","2020-09-21"
"Unnamed Fort Zumwalt School District student","Undetermined","Undetermined","","2020-10-28"
"US Cyber Command","United States of America","Nation-State","","2022-06-01"
"US Navy","Undetermined","Nation-State","","2019-05-21"
"USDoD","Undetermined","Criminal","","2023-09-11"
"UserSec","Russian Federation","Hacktivist","","2023-10-30"
"v0g3lSec","Undetermined","Hacktivist","","2022-03-03"
"Vanda The God","United States of America","Hacktivist","","2021-03-19"
"VandaTheGod","United States of America","Hacktivist","","2019-08-17"
"Venus","Undetermined","Criminal","","2022-11-10"
"Vermin","Ukraine","Criminal","","2022-03-17"
"Vice Society","Undetermined","Criminal","","2023-09-20"
"victim","Undetermined","Criminal","","2023-09-07"
"Vigilance","United States of America","Hacktivist","","2017-06-20"
"VikingDom2016","United States of America","Hacktivist","","2015-07-26"
"ViktorLustig","Undetermined","Criminal","","2022-08-10"
"vimproducts","Undetermined","Criminal","","2016-11-08"
"Virkid","India","Hacktivist","","2014-10-19"
"VirtuaL DARKWAR2","Philippines","Hacktivist","","2014-06-25"
"Virushacker","India","Hacktivist","","2015-10-31"
"Volodymyr Kvashuk","Undetermined","Criminal","","2020-11-10"
"VSOP","Undetermined","Criminal","","2022-09-29"
"W0rm","Russian Federation","Criminal","","2016-01-13"
"Water Roc","Undetermined","Criminal","","2021-03-05"
"WauchulaGhost","Undetermined","Hacktivist","","2017-04-25"
"Wealth Squad Chris","Undetermined","Hobbyist","","2021-11-15"
"Websites Hunter","Undetermined","Undetermined","","2016-09-30"
"Western intelligence","Undetermined","Nation-State","","2019-06-27"
"White Company","Undetermined","Nation-State","","2018-11-12"
"Wild Neutron","Undetermined","Undetermined","","2017-10-17"
"WINDSHIFT","Undetermined","Nation-State","","2019-02-21"
"WIZARD SPIDER","Russian Federation","Criminal","","2022-05-08"
"WKPF","Russian Federation","Hacktivist","","2016-01-19"
"World Hacker Team","Rwanda","Hacktivist","","2016-05-30"
"X-saad","United Kingdom of Great Britain and Northern Ireland","Hacktivist","","2015-01-06"
"XakNet","Russian Federation","Hacktivist","","2022-11-29"
"xaxaxax","Undetermined","Undetermined","","2015-02-02"
"Xenotime and Kamacite","Russian Federation","Nation-State","","2022-11-25"
"Xi'an Tianhe Defense Technology, Defense Contractor (APT15)","Afghanistan","Nation-State","","2023-01-18"
"Xi'an Tianhe Defense Technology, Defense Contrator (APT15)","China","Nation-State","","2018-03-09"
"Xing Team","Undetermined","Criminal","","2021-05-24"
"XJP","Undetermined","Criminal","","2022-08-12"
"Yemen Cyber Army","Afghanistan","Nation-State","","2015-05-22"
"YMH","Afghanistan","Hobbyist","","2014-03-31"
"YoroTrooper","Undetermined","Criminal","","2023-03-14"
"yPeRtRoN","Undetermined","Undetermined","","2015-05-30"
"Z Company Hacking Crew","India","Hacktivist","","2014-10-27"
"Zarya","Russian Federation","Hacktivist","","2022-08-19"
"Zcompany Hacking Crew","Undetermined","Hacktivist","","2014-02-19"
"Zeppelin","Undetermined","Criminal","","2020-12-19"
"Zer0Pwn","Syrian Arab Republic","Hacktivist","","2014-04-06"
"zerodark70","Undetermined","Criminal","","2017-02-08"
"Zhengquan Zhang","Undetermined","Undetermined","","2017-04-23"
"Zukr@in","Pakistan","Hacktivist","","2014-10-09"
"Zurael_sTz","Iran (Islamic Republic of)","Hacktivist","","2016-08-02"
"Zyklon","Undetermined","Hobbyist","","2015-02-03"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
